route_no,originating_point,terminating_point,stoppages
C42,Ganganagar,Howrah Station,"['Airport', 'Avenue', 'BBD', 'Bag', 'Baguiati', 'Bank', 'Birati', 'Bowbazar', 'Central', 'College', 'GPO', 'Ganganagar', 'Gate', 'Howrah Station', 'India', 'Kaikhali', 'Kankurgachi', 'Kestopur', 'Laketown', 'Maniktala', 'Mickelnagar', 'Rajabazar', 'Road', 'Sealdha', 'Stand', 'Ultadanga']"
C43,Habra,Garia,"['1no', 'Airport', 'Ajaynagar', 'Ashoknagar', 'Barasat', 'Bira', 'Chinar', 'Chingrighata', 'City', 'Duttapukur', 'Eco', 'Garia', 'Guma', 'Habra', 'Madhyamgram', 'Narkelbagn', 'Newtown', 'Park', 'Patuli', 'Peerless', 'Ruby', 'Science', 'Sec5']"
C46,Baruipur,Nabanna,"['Amratal', 'Amtala', 'Baruipur', 'Basundharia', 'Behala', 'Bridge', 'Bus', 'Depot', 'Dhamua', 'Hastings', 'Kheriberia', 'Magurkhali', 'Nabanna', 'Pilan', 'Rajarhat', 'Ranabelia', 'Sakherbajar', 'Stand', 'Suryapur', 'Tahelarampur', 'Taratala', 'Tram', 'Watgangemore', 'bazar', 'ghat']"
C48,Barasat,Barasat/ Ecospace,"['Airport', 'Ajaynagar', 'Aliah', 'Barasat', 'Barasat/ Ecospace', 'Baruipur', 'Chinar', 'Chingrighata', 'City', 'Eco', 'Ecospace', 'Garia', 'Harinavi', 'Madhyamgram', 'Narendrapur', 'Narkelbagan', 'Newtown', 'Padmapukur', 'Park', 'Patuli', 'Peerless', 'Ruby', 'Science', 'Sector']"
D17,Garia,KWIC,"['Anwar', 'Belepole', 'Carryroad', 'Crossing', 'Express', 'Garia', 'Hazra', 'Jdavpur', 'KWIC', 'Kona', 'NH6', 'PTS', 'Rabindra', 'Road', 'Sadan', 'Salap', 'Santragachi', 'Shah', 'Tax', 'Toll']"
D1A,Barasat,Tollygunge,"['Airport', 'Baguiati', 'Barasat', 'Birati', 'College', 'Dackbanglow', 'Madhyamgram', 'More', 'Tollygunge']"
E-1,Jadavpur,Howrah Station,"['Avenue', 'B.B.D.Bag', 'Bari', 'Belaghata', 'Byapss', 'Chinghreeghata', 'City', 'Dhakuria', 'Elgin', 'Esplanade', 'Gariahgat', 'Golpark', 'Hazra', 'Howrah Station', 'Jadavpur', 'Kali', 'Kestopur', 'Lake', 'Laketown', 'Park', 'Rabindra', 'Rashbihari', 'Ruby', 'Sadan', 'Science', 'Ultadanga']"
E-4,Parnasree,Howrah Station,"['Ave', 'BBD', 'Bag', 'Bridge', 'Casurina', 'Crossing', 'East', 'Esplanade', 'Howrah Station', 'Khiderpur', 'Mominpur', 'Parnasree', 'Stn', 'Taratala']"
E-32,Neilgunj,Howrah Station,"['BKP', 'Bridge', 'Chiriamore', 'Depot', 'Dunlop', 'East', 'Gray', 'Howrah Station', 'Kamarhati', 'Khardha', 'Lalkuthi', 'Manument', 'Mohanpur', 'Narayan', 'Neilgunj', 'Nilgunge', 'P.S', 'Panihati', 'Park', 'Rathtala', 'Satya', 'Shyambazar', 'SinthiMore', 'Stn', 'Sukchar', 'Talpukur', 'Titagarh', 'Vivekananda']"
E36,Habra,Santragachi,"['Airport', 'Ashoknagar', 'B.T', 'Baguiati', 'Barasat', 'Belepore', 'Bira', 'Carry', 'College', 'Dackbanglow', 'Duttapukur', 'Esplanade', 'Girish', 'Guma', 'Habra', 'Kankugachi', 'Kestopur', 'Laketown', 'LalBazar', 'Madhyamgram', 'Maniktala', 'Mickel', 'More', 'Nagar', 'PTS', 'Park', 'Rabinrasadan', 'Road', 'Santragachi', 'Tax', 'Toll', 'Ultadanga']"
E,Barasat,Santragachi,"['Airport', 'Baguiati', 'Barasat', 'Belepole', 'Birati', 'Carryroad', 'College', 'Dackbanglow', 'Esplanade', 'Girish', 'Kankugachi', 'Kestopur', 'Laketown', 'LalBazar', 'Madhyamgram', 'Maniktala', 'More', 'PTS', 'Park', 'Santragachi', 'Spl', 'Ultadanga']"
E,Barasat,Esplanade,"['37A', 'Airport', 'Baguiati', 'Barasat', 'Birati', 'College', 'Dackbanglow', 'Esplanade', 'Girish', 'Kankugachi', 'Kestopur', 'Laketown', 'LalBazar', 'Madhyamgram', 'Maniktala', 'More', 'Park', 'Ultadanga']"
E43A,Howrah Station,Bhebia,"['Bamanpukur', 'Bantala', 'Baralighat', 'Battala', 'Bhebia', 'Bhojerhat', 'Bhushighata', 'Chaital', 'Chandipur', 'Circus', 'City', 'Dalhousie', 'Esplanade', 'Ghatakpukur', 'Howrah Station', 'Joypur', 'Karidanga', 'Katatala', 'Malancha', 'Minakhan', 'More', 'Moulali', 'Nimchabari', 'Paglahat', 'Park', 'Science', 'Topsia']"
E75,Barasat,Baruipur,"['Airpport', 'B.T', 'Bantala', 'Baralighat', 'Barasat', 'Baruipur', 'Bhojerhat', 'Birati', 'Bodra', 'Champahati', 'Chinar', 'Chingrighata', 'City', 'College', 'Dackbalglow', 'Eco', 'Ghatakpukur', 'Kantala', 'Karaidanga', 'Madhyamgram', 'Mickel', 'More', 'Nagar', 'Narkelbagn', 'Newtown', 'Paglahat', 'Park', 'Science', 'Sec5']"
E77,Esplanade,Sukanta Park,"['Bargachia', 'Belepole', 'Carry', 'Crossing', 'Dakshinbari', 'Dilakhash', 'Domjur', 'Esplanade', 'Ichanagari', 'Jagatballavpur', 'Kalitala', 'Makardaha', 'More', 'PTS', 'Park', 'Rabindra', 'Rajapur', 'Road', 'Sadan', 'Salap', 'Santragachi', 'Sukanta', 'Sukanta Park', 'Tax', 'Toll', 'bazar']"
EB1,Nabanna,Newtown,"['Beckbagan', 'Chingrighata', 'Circus', 'City', 'College', 'DLF', 'Mandirtala', 'Minto', 'More', 'Nabanna', 'Newtown', 'PTS', 'Park', 'Rabindra', 'Sadan', 'Science', 'Setu', 'Vidyasagar', 'Wipro']"
EB3,Tollygunge,Eco Space,"['4==', '==End', 'Axis', 'Chingrighata', 'City', 'College', 'DLF', 'Deshapriya', 'Eco', 'Eco Space', 'Gariahat', 'Gate', 'Hospital', 'Mall', 'Mathpukur', 'More', 'Narkelbagan', 'Newtown', 'Nicco', 'OCR', 'Park', 'Rashbehari', 'Route', 'Ruby', 'SDF', 'Science', 'Tollygunge', 'Unitech', 'Wipro', 'for', 'page', 'space']"
EB-12,Barasat,Sapoorji,"['Adibasi Bhavan', 'Airport Gate 1', 'Aliah University', 'Bankra More', 'Barasat', 'City Centre II', 'Eco Park', 'Eco Space', 'Hridaypur', 'Madhyamgram Chowrasta', 'New Barrackpur B.T. College', 'Sapoorji']"
EB-14,Santragachi,Eco Space,"['Eco', 'Eco Space', 'Santragachi', 'Space']"
M-7B,Shibrampur,Eco Space,"['Adibasi', 'Airport', 'Aliah', 'B.T', 'BBD', 'Bag', 'Bakultala', 'Bankra', 'Barrackpur', 'Beckbagan', 'Behala', 'Betore', 'Bhavan', 'Bhawan', 'Centre', 'Chingrihata', 'Chowrasta', 'Chowrastha', 'City', 'College', 'Crossing', 'Eco', 'Eco Space', 'Esplanade', 'Exide', 'Gate', 'Howrah Station', 'Hridaypur', 'Karunamoyee', 'Madhyamgram', 'Mandirtala', 'Metro', 'Mission', 'More', 'Narkelbagan', 'New', 'Nicco', 'P.T.S', 'Park', 'Plaza', 'Rabindra', 'Raja', 'Rammohan', 'Rashbehari', 'Road', 'Row', 'Roy', 'Sadan', 'Shibrampur', 'Space', 'Station', 'Street', 'Swastha', 'Technopolish', 'Toll', 'Tollygunge', 'Topsia', 'Town', 'Unitech', 'University', 'Via']"
M-7C,Sasthir More,Howrah Station,"['Ave', 'BBD', 'Bag', 'Bakultala', 'Behala', 'Bridge', 'Casurina', 'Chowrasta', 'Crossing', 'East', 'Esplanade', 'Howrah Station', 'Kidderpore', 'Manton', 'Mominpur', 'More', 'P.S', 'Sasthir', 'Sasthir More', 'Stn', 'Taratala']"
M-7D,Sonamukhi Bazar,Kankurgachi,"['Bazar', 'Behala', 'Crossing', 'Depot', 'Kankurgachi', 'Mint', 'Sarsuna', 'Sonamukhi', 'Sonamukhi Bazar', 'Taratala', 'Tram', 'chowrasta']"
M-7E,Bagpota,Howrah Station,"['BBD Bag', 'Bagpota', 'Behala', 'Casurina Ave', 'Esplanade', 'Howrah Bridge', 'Howrah Station', 'Kestor More', 'Khidirpore', 'Mominpore', 'Sarsuna', 'Taratala Xing']"
M-7K,Sealdah,Sarsuna,"['(Sarsuna)', 'Khudiram', 'Park', 'Sarsuna', 'Sealdah']"
M-14,Behala,New Town,"['(East)', '(Rajabazar', 'Alipore', 'Ave', 'Avn', 'BBD', 'Bag', 'Bagan', 'Bagpota', 'Bahadur', 'Bazar', 'Behala', 'Beliaghata', 'Bridge', 'Burashibtala', 'CITRd', 'Canal', 'Casurina', 'Chetla', 'Chingrihata', 'Chowrastha', 'City', 'College', 'Crossing', 'East', 'Elgin', 'Esplanade', 'Gariahat', 'Gopalnagar', 'Hazra', 'Howrah Station', 'Kankurgachi', 'Karunamoyee', 'Kestor', 'Khidirpore', 'Main', 'Metro', 'Mominpore', 'Mominpur', 'More', 'Moulali', 'Muchipara', 'New', 'New Town', 'Panchanantala', 'Park', 'Petrol', 'Phool', 'Pump', 'Rashbehari', 'Rashmoni', 'Road', 'Roy', 'Ruby', 'S.C.Mallick', 'SDF', 'Sarsuna', 'Science', 'Sealdah', 'Square', 'Stn', 'Street', 'T.D.)', 'Taratala', 'Tollygunge', 'Town']"
S-2,Shibtala Math,Howrah Station,"['Ananda', 'Ave', 'B.B.D', 'Bag', 'Bazar', 'Bridge', 'Bura', 'Burrabazar', 'C.I.T', 'Chandi', 'Chitpur', 'College', 'Crossing', 'Depot', 'East', 'Elgin', 'Esplanade', 'Ghosh', 'Hazra', 'Howrah Station', 'Kundghat', 'M.G', 'Maidan', 'Math', 'Moulali', 'Palit', 'Phari', 'Rajabazar', 'Rashbehari', 'Road', 'Sealdah', 'Shibtala', 'Shibtala Math', 'Station', 'Street', 'Tollygunge', 'Tram']"
S-3A,Thakurpukur,Sealdah,"['B.B.Ganguly', 'BBD', 'Bag', 'Bazar', 'Behala', 'Bus', 'Chourasta', 'Depot', 'Esplanade', 'Gate', 'Khidirpore', 'Menton', 'More', 'Mouminpur', 'Sealdah', 'Sealdh', 'Silpara', 'Stand', 'Taratala', 'Thakurpukur', 'Tram', 'Water']"
S-3B,Behala,Kankurgachi,"['BBD.BAGB.B.Ganguli', 'Behala', 'Esplanade', 'Gate', 'Kankurgachi', 'Khidirpur', 'Mominpur', 'More', 'Phoolbagn', 'Rajabazar', 'St.Sealdah', 'Taratala', 'Water']"
S-3W,Joka,Eco Space,"['Aliah', 'Alipore', 'Bagan', 'Bazar', 'Behala', 'Chetla', 'Chingrighata', 'Chorasta', 'City', 'College', 'Depot', 'Ecispace', 'Eco', 'Eco Space', 'Gariahat', 'Home', 'Joka', 'Kasba', 'More', 'Nagar', 'Narkel', 'New', 'Nicco', 'P.S', 'Park', 'Ruby', 'SDF', 'Sakhar', 'Science', 'Space', 'Stand', 'Sukanta', 'Taratala', 'Techopolic', 'Thakurpukur', 'Town', 'Tram', 'Univercity', 'VIP', 'xing']"
S-4,Karunamoyee,Tollygunge,"['Bazar', 'Chingri', 'City', 'Crossing', 'Depot', 'Gariahat', 'Gate', 'Ghata', 'HUDCO', 'Karunamoyee', 'Kasba', 'PNB', 'Parnashree', 'Phari', 'Quality', 'Rashbehari', 'Taratala', 'Tollygunge', 'VIP']"
S-4C,Howrah Station,Karunamoyee,"['Avenue', 'BBD', 'Bag', 'Bridge', 'Crossing', 'East', 'Esplanade', 'Haridebpur', 'Haridevpur', 'Hazra', 'Howrah Station', 'Karunamoyee', 'Park', 'Phari', 'Rabindra', 'Rashbehari', 'Sadan', 'Stn', 'Street', 'Tollygunge', 'Tram', 'depot']"
S-4D,Parnashri,Eco Space,"['Alipore', 'Bagan', 'Beckary', 'Bus', 'Chingrihata', 'Crossing', 'E.M.Byepass', 'Eco', 'Eco Space', 'Home', 'Hospital', 'Jadavpur', 'Kalikapur', 'Lords', 'Narkel', 'New', 'Nicco', 'P.A.Sh', 'Park', 'Parnashri', 'Parnasree', 'Ruby', 'SDF', 'Sapuipara', 'Sc.City', 'Space', 'Stand', 'Taratala', 'Technopolis', 'Town']"
S-5,Garia,Howrah Station,"['BBD Bag', 'Bagan', 'Baghajatin', 'Bazar', 'Burra', 'D.Park', 'Dhakuria', 'Elgin', 'Esplanade', 'Ganguli', 'Garia', 'Golpark', 'Hazra', 'Howrah Station', 'Jadavpur', 'Park', 'R.B.Ave', 'S.Ave', 'Stn', 'Street']"
S-7,Garia,Howrah Station,"['Ave', 'BBD', 'Bag', 'Bridge', 'East', 'Elgin', 'Esplanade', 'Garia', 'Hazra', 'Howrah Station', 'Naktala', 'Park', 'Phari', 'Ranikuthi', 'Rashbehari', 'Regent', 'Stn', 'T.Depot', 'Tollygunge']"
